MAE,RMSE,MAPE,R²,Model,Split
0.001170848503285161,0.0020496824706905687,0.0028906248411396536,0.9999998511086022,Gradient Boosting,Train
1.9221742621797395,3.0601934102776407,4.624179451183221,0.6409041693618455,Gradient Boosting,Test
0.7913510533423769,1.169053658428153,1.982093729210473,0.951564328664502,LightGBM,Train
2.0475425753996825,2.83844342665058,5.194415661117319,0.6910607436698921,LightGBM,Test
0.14219851519696586,0.44402661125219267,0.3953650990727314,0.9930126189016826,Random Forest,Train
1.8422467438370618,2.960885483137364,4.4260825542965545,0.6638324160718245,Random Forest,Test
0.41091360751592043,0.7899016092348802,1.0432009604737595,0.9778872665881395,Ridge Regression,Train
2.647628850465077,4.047313660759724,6.325723286384144,0.37187462673361105,Ridge Regression,Test
0.011229799000573748,0.03348696463997197,0.028191371423434218,0.9999602581572994,XGBoost,Train
2.055213345976617,3.254532168741607,4.994955023172279,0.5938469222079923,XGBoost,Test
